trip_id,line_id,capacity,source_gtfs_trip_id,headsign
L12_T043,L12,180,.ojp-91-12-B.1.TA.7892.j26,"Lancy-Bachet, gare"
L12_T044,L12,180,.ojp-91-12-B.1.TA.8069.j26,"Lancy-Bachet, gare"
L12_T045,L12,180,.ojp-91-12-B.1.TA.8073.j26,"Lancy-Bachet, gare"
L12_T046,L12,180,.ojp-91-12-B.1.TA.8080.j26,"Lancy-Bachet, gare"
L12_T047,L12,180,.ojp-91-12-B.1.TA.8081.j26,"Lancy-Bachet, gare"
L12_T048,L12,180,.ojp-91-12-B.1.TA.8085.j26,"Lancy-Bachet, gare"
L12_T049,L12,180,.ojp-91-12-B.1.TA.8246.j26,"Lancy-Bachet, gare"
L12_T050,L12,180,.ojp-91-12-B.1.TA.8904.j26,"Lancy-Bachet, gare"
L12_T051,L12,180,.ojp-91-12-B.1.TA.8954.j26,"Lancy-Bachet, gare"
L12_T052,L12,180,.ojp-91-12-B.1.TA.8960.j26,"Lancy-Bachet, gare"
L12_T053,L12,180,.ojp-91-12-B.1.TA.8961.j26,"Lancy-Bachet, gare"
L12_T054,L12,180,.ojp-91-12-B.1.TA.8970.j26,"Lancy-Bachet, gare"
L12_T055,L12,180,.ojp-91-12-B.1.TA.9108.j26,"Lancy-Bachet, gare"
L12_T056,L12,180,.ojp-91-12-B.1.TA.9135.j26,"Lancy-Bachet, gare"
L12_T057,L12,180,.ojp-91-12-B.1.TA.9186.j26,"Lancy-Bachet, gare"
L12_T058,L12,180,.ojp-91-12-B.1.TA.9188.j26,"Lancy-Bachet, gare"
L12_T059,L12,180,.ojp-91-12-B.1.TA.9331.j26,"Lancy-Bachet, gare"
L12_T060,L12,180,.ojp-91-12-B.1.TA.9421.j26,"Lancy-Bachet, gare"
L12_T061,L12,180,.ojp-91-12-B.1.TA.9499.j26,"Lancy-Bachet, gare"
L12_T062,L12,180,.ojp-91-12-B.1.TA.9500.j26,"Lancy-Bachet, gare"
L12_T063,L12,180,.ojp-91-12-B.1.TA.9501.j26,"Lancy-Bachet, gare"
L12_T064,L12,180,.ojp-91-12-B.1.TA.9505.j26,"Lancy-Bachet, gare"
L12_T065,L12,180,.ojp-91-12-B.1.TA.9509.j26,"Lancy-Bachet, gare"
L14_T001,L14,180,.ojp-91-14-D.1.TA.1085.j26,"Meyrin, Gravière"
L14_T002,L14,180,.ojp-91-14-D.1.TA.1441.j26,"Meyrin, Gravière"
L14_T003,L14,180,.ojp-91-14-D.1.TA.1556.j26,"Meyrin, Gravière"
L14_T004,L14,180,.ojp-91-14-D.1.TA.1560.j26,"Meyrin, Gravière"
L14_T005,L14,180,.ojp-91-14-D.1.TA.1565.j26,"Meyrin, Gravière"
L14_T006,L14,180,.ojp-91-14-D.1.TA.1566.j26,"Meyrin, Gravière"
L14_T007,L14,180,.ojp-91-14-D.1.TA.1572.j26,"Meyrin, Gravière"
L14_T008,L14,180,.ojp-91-14-D.1.TA.1576.j26,"Meyrin, Gravière"
L14_T009,L14,180,.ojp-91-14-D.1.TA.1580.j26,"Meyrin, Gravière"
L14_T010,L14,180,.ojp-91-14-D.1.TA.1584.j26,"Meyrin, Gravière"
L14_T011,L14,180,.ojp-91-14-D.1.TA.1588.j26,"Meyrin, Gravière"
L14_T012,L14,180,.ojp-91-14-D.1.TA.1593.j26,"Meyrin, Gravière"
L14_T013,L14,180,.ojp-91-14-D.1.TA.1594.j26,"Meyrin, Gravière"
L14_T014,L14,180,.ojp-91-14-D.1.TA.1600.j26,"Meyrin, Gravière"
L14_T015,L14,180,.ojp-91-14-D.1.TA.180.j26,"Meyrin, Gravière"
L14_T016,L14,180,.ojp-91-14-D.1.TA.198.j26,"Meyrin, Gravière"
L14_T017,L14,180,.ojp-91-14-D.1.TA.2510.j26,"Meyrin, Gravière"
L14_T018,L14,180,.ojp-91-14-D.1.TA.2511.j26,"Meyrin, Gravière"
L14_T019,L14,180,.ojp-91-14-D.1.TA.3309.j26,"Meyrin, Gravière"
L14_T020,L14,180,.ojp-91-14-D.1.TA.3713.j26,"Meyrin, Gravière"
L14_T021,L14,180,.ojp-91-14-D.1.TA.3955.j26,"Meyrin, Gravière"
L14_T022,L14,180,.ojp-91-14-D.1.TA.3974.j26,"Meyrin, Gravière"
L14_T023,L14,180,.ojp-91-14-D.1.TA.3975.j26,"Meyrin, Gravière"
L14_T024,L14,180,.ojp-91-14-D.1.TA.4011.j26,"Meyrin, Gravière"
L14_T025,L14,180,.ojp-91-14-D.1.TA.4055.j26,"Meyrin, Gravière"
L14_T026,L14,180,.ojp-91-14-D.1.TA.4257.j26,"Meyrin, Gravière"
L14_T027,L14,180,.ojp-91-14-D.1.TA.4282.j26,"Meyrin, Gravière"
L14_T028,L14,180,.ojp-91-14-D.1.TA.4286.j26,"Meyrin, Gravière"
L14_T029,L14,180,.ojp-91-14-D.1.TA.4290.j26,"Meyrin, Gravière"
L14_T030,L14,180,.ojp-91-14-D.1.TA.4294.j26,"Meyrin, Gravière"
L14_T031,L14,180,.ojp-91-14-D.1.TA.4298.j26,"Meyrin, Gravière"
L14_T032,L14,180,.ojp-91-14-D.1.TA.4304.j26,"Meyrin, Gravière"
L14_T033,L14,180,.ojp-91-14-D.1.TA.4305.j26,"Meyrin, Gravière"
L14_T034,L14,180,.ojp-91-14-D.1.TA.4306.j26,"Meyrin, Gravière"
L14_T035,L14,180,.ojp-91-14-D.1.TA.4323.j26,"Meyrin, Gravière"
L14_T036,L14,180,.ojp-91-14-D.1.TA.4821.j26,"Bernex, Vailly"
L14_T037,L14,180,.ojp-91-14-D.1.TA.4828.j26,"Bernex, Vailly"
L14_T038,L14,180,.ojp-91-14-D.1.TA.4829.j26,"Bernex, Vailly"
L14_T039,L14,180,.ojp-91-14-D.1.TA.4959.j26,"Bernex, Vailly"
L14_T040,L14,180,.ojp-91-14-D.1.TA.6083.j26,"Bernex, Vailly"
L14_T041,L14,180,.ojp-91-14-D.1.TA.6121.j26,"Bernex, Vailly"
L14_T042,L14,180,.ojp-91-14-D.1.TA.6129.j26,"Bernex, Vailly"
L14_T043,L14,180,.ojp-91-14-D.1.TA.6197.j26,"Bernex, Vailly"
L14_T044,L14,180,.ojp-91-14-D.1.TA.6312.j26,"Bernex, Vailly"
L14_T045,L14,180,.ojp-91-14-D.1.TA.6337.j26,"Bernex, Vailly"
L14_T046,L14,180,.ojp-91-14-D.1.TA.6366.j26,"Bernex, Vailly"
L14_T047,L14,180,.ojp-91-14-D.1.TA.6367.j26,"Bernex, Vailly"
L14_T048,L14,180,.ojp-91-14-D.1.TA.6373.j26,"Bernex, Vailly"
L14_T049,L14,180,.ojp-91-14-D.1.TA.6610.j26,"Bernex, Vailly"
L14_T050,L14,180,.ojp-91-14-D.1.TA.6616.j26,"Bernex, Vailly"
L14_T051,L14,180,.ojp-91-14-D.1.TA.6617.j26,"Bernex, Vailly"
L14_T052,L14,180,.ojp-91-14-D.1.TA.6618.j26,"Bernex, Vailly"
L14_T053,L14,180,.ojp-91-14-D.1.TA.6708.j26,"Bernex, Vailly"
L14_T054,L14,180,.ojp-91-14-D.1.TA.6727.j26,"Bernex, Vailly"
L14_T055,L14,180,.ojp-91-14-D.1.TA.6754.j26,"Bernex, Vailly"
L14_T056,L14,180,.ojp-91-14-D.1.TA.6921.j26,"Bernex, Vailly"
L14_T057,L14,180,.ojp-91-14-D.1.TA.6988.j26,"Bernex, Vailly"
L14_T058,L14,180,.ojp-91-14-D.1.TA.6989.j26,"Bernex, Vailly"
L14_T059,L14,180,.ojp-91-14-D.1.TA.6990.j26,"Bernex, Vailly"
L14_T060,L14,180,.ojp-91-14-D.1.TA.7001.j26,"Bernex, Vailly"
L14_T061,L14,180,.ojp-91-14-D.1.TA.7002.j26,"Bernex, Vailly"
L14_T062,L14,180,.ojp-91-14-D.1.TA.72.j26,"Meyrin, Gravière"
L14_T063,L14,180,.ojp-91-14-D.1.TA.7225.j26,"Bernex, Vailly"
L14_T064,L14,180,.ojp-91-14-D.1.TA.7229.j26,"Bernex, Vailly"
L14_T065,L14,180,.ojp-91-14-D.1.TA.7256.j26,"Bernex, Vailly"
L14_T066,L14,180,.ojp-91-14-D.1.TA.7262.j26,"Bernex, Vailly"
L14_T067,L14,180,.ojp-91-14-D.1.TA.7263.j26,"Bernex, Vailly"
L14_T068,L14,180,.ojp-91-14-D.1.TA.7264.j26,"Bernex, Vailly"
L14_T069,L14,180,.ojp-91-14-D.1.TA.7528.j26,"Bernex, Vailly"
L14_T070,L14,180,.ojp-91-14-D.1.TA.8163.j26,"Bernex, Vailly"
L14_T071,L14,180,.ojp-91-14-D.1.TA.8575.j26,"Bernex, Vailly"
L14_T072,L14,180,.ojp-91-14-D.1.TA.8659.j26,"Bernex, Vailly"
L18_T001,L18,180,.ojp-91-18.1.TA.1152.j26,"Meyrin, CERN"
L18_T002,L18,180,.ojp-91-18.1.TA.1154.j26,"Meyrin, CERN"
L18_T003,L18,180,.ojp-91-18.1.TA.1172.j26,"Meyrin, CERN"
L18_T004,L18,180,.ojp-91-18.1.TA.1595.j26,"Meyrin, CERN"
L18_T005,L18,180,.ojp-91-18.1.TA.1633.j26,"Meyrin, CERN"
L18_T006,L18,180,.ojp-91-18.1.TA.1636.j26,"Meyrin, CERN"
L18_T007,L18,180,.ojp-91-18.1.TA.1651.j26,"Meyrin, CERN"
L18_T008,L18,180,.ojp-91-18.1.TA.1681.j26,"Meyrin, CERN"
L18_T009,L18,180,.ojp-91-18.1.TA.1687.j26,"Meyrin, CERN"
L18_T010,L18,180,.ojp-91-18.1.TA.2117.j26,"Meyrin, CERN"
L18_T011,L18,180,.ojp-91-18.1.TA.2118.j26,"Meyrin, CERN"
L18_T012,L18,180,.ojp-91-18.1.TA.2127.j26,"Meyrin, CERN"
L18_T013,L18,180,.ojp-91-18.1.TA.2128.j26,"Meyrin, CERN"
L18_T014,L18,180,.ojp-91-18.1.TA.2131.j26,"Meyrin, CERN"
L18_T015,L18,180,.ojp-91-18.1.TA.2145.j26,"Meyrin, CERN"
L18_T016,L18,180,.ojp-91-18.1.TA.2405.j26,"Meyrin, CERN"
L18_T017,L18,180,.ojp-91-18.1.TA.2461.j26,"Meyrin, CERN"
L18_T018,L18,180,.ojp-91-18.1.TA.2614.j26,"Grand-Lancy, Palettes"
L18_T019,L18,180,.ojp-91-18.1.TA.3446.j26,"Grand-Lancy, Palettes"
L18_T020,L18,180,.ojp-91-18.1.TA.3760.j26,"Grand-Lancy, Palettes"
L18_T021,L18,180,.ojp-91-18.1.TA.3924.j26,"Grand-Lancy, Palettes"
L18_T022,L18,180,.ojp-91-18.1.TA.4227.j26,"Grand-Lancy, Palettes"
L18_T023,L18,180,.ojp-91-18.1.TA.4279.j26,"Grand-Lancy, Palettes"
L18_T024,L18,180,.ojp-91-18.1.TA.4299.j26,"Grand-Lancy, Palettes"
L18_T025,L18,180,.ojp-91-18.1.TA.4300.j26,"Grand-Lancy, Palettes"
L18_T026,L18,180,.ojp-91-18.1.TA.4307.j26,"Grand-Lancy, Palettes"
L18_T027,L18,180,.ojp-91-18.1.TA.4365.j26,"Grand-Lancy, Palettes"
L18_T028,L18,180,.ojp-91-18.1.TA.4617.j26,"Grand-Lancy, Palettes"
L18_T029,L18,180,.ojp-91-18.1.TA.4837.j26,"Grand-Lancy, Palettes"
L18_T030,L18,180,.ojp-91-18.1.TA.4841.j26,"Grand-Lancy, Palettes"
L18_T031,L18,180,.ojp-91-18.1.TA.4889.j26,"Grand-Lancy, Palettes"
L18_T032,L18,180,.ojp-91-18.1.TA.4905.j26,"Grand-Lancy, Palettes"
L18_T033,L18,180,.ojp-91-18.1.TA.4909.j26,"Grand-Lancy, Palettes"
L18_T034,L18,180,.ojp-91-18.1.TA.4917.j26,"Grand-Lancy, Palettes"
L18_T035,L18,180,.ojp-91-18.1.TA.4929.j26,"Grand-Lancy, Palettes"
L18_T036,L18,180,.ojp-91-18.1.TA.96.j26,"Meyrin, CERN"
