trip_id,stop_id,sequence,arrival_s,departure_s
L1_GA_0852,A,4,09:16:00,09:16:01
L1_GA_0907,G,1,09:07:00,09:07:01
L1_GA_0907,E,2,09:15:00,09:15:01
L1_GA_0907,C,3,09:23:00,09:23:01
L1_GA_0907,A,4,09:31:00,09:31:01
L1_GA_0922,G,1,09:22:00,09:22:01
L1_GA_0922,E,2,09:30:00,09:30:01
L1_GA_0922,C,3,09:38:00,09:38:01
L1_GA_0922,A,4,09:46:00,09:46:01
L1_GA_0937,G,1,09:37:00,09:37:01
L1_GA_0937,E,2,09:45:00,09:45:01
L1_GA_0937,C,3,09:53:00,09:53:01
L1_GA_0937,A,4,10:01:00,10:01:01
L1_GA_0952,G,1,09:52:00,09:52:01
L1_GA_0952,E,2,10:00:00,10:00:01
L1_GA_0952,C,3,10:08:00,10:08:01
L1_GA_0952,A,4,10:16:00,10:16:01
L2_BH_0705,B,1,07:05:00,07:05:01
L2_BH_0705,D,2,07:12:00,07:12:01
L2_BH_0705,F,3,07:19:00,07:19:01
L2_BH_0705,H,4,07:26:00,07:26:01
L2_BH_0715,B,1,07:15:00,07:15:01
L2_BH_0715,D,2,07:22:00,07:22:01
L2_BH_0715,F,3,07:29:00,07:29:01
L2_BH_0715,H,4,07:36:00,07:36:01
L2_BH_0725,B,1,07:25:00,07:25:01
L2_BH_0725,D,2,07:32:00,07:32:01
L2_BH_0725,F,3,07:39:00,07:39:01
L2_BH_0725,H,4,07:46:00,07:46:01
L2_BH_0735,B,1,07:35:00,07:35:01
L2_BH_0735,D,2,07:42:00,07:42:01
L2_BH_0735,F,3,07:49:00,07:49:01
L2_BH_0735,H,4,07:56:00,07:56:01
L2_BH_0745,B,1,07:45:00,07:45:01
L2_BH_0745,D,2,07:52:00,07:52:01
L2_BH_0745,F,3,07:59:00,07:59:01
L2_BH_0745,H,4,08:06:00,08:06:01
L2_BH_0755,B,1,07:55:00,07:55:01
L2_BH_0755,D,2,08:02:00,08:02:01
L2_BH_0755,F,3,08:09:00,08:09:01
L2_BH_0755,H,4,08:16:00,08:16:01
L2_BH_0805,B,1,08:05:00,08:05:01
L2_BH_0805,D,2,08:12:00,08:12:01
L2_BH_0805,F,3,08:19:00,08:19:01
L2_BH_0805,H,4,08:26:00,08:26:01
L2_BH_0815,B,1,08:15:00,08:15:01
L2_BH_0815,D,2,08:22:00,08:22:01
L2_BH_0815,F,3,08:29:00,08:29:01
L2_BH_0815,H,4,08:36:00,08:36:01
L2_BH_0825,B,1,08:25:00,08:25:01
L2_BH_0825,D,2,08:32:00,08:32:01
L2_BH_0825,F,3,08:39:00,08:39:01
L2_BH_0825,H,4,08:46:00,08:46:01
L2_BH_0835,B,1,08:35:00,08:35:01
L2_BH_0835,D,2,08:42:00,08:42:01
L2_BH_0835,F,3,08:49:00,08:49:01
L2_BH_0835,H,4,08:56:00,08:56:01
L2_BH_0845,B,1,08:45:00,08:45:01
L2_BH_0845,D,2,08:52:00,08:52:01
L2_BH_0845,F,3,08:59:00,08:59:01
L2_BH_0845,H,4,09:06:00,09:06:01
L2_BH_0855,B,1,08:55:00,08:55:01
L2_BH_0855,D,2,09:02:00,09:02:01
L2_BH_0855,F,3,09:09:00,09:09:01
L2_BH_0855,H,4,09:16:00,09:16:01
L2_BH_0905,B,1,09:05:00,09:05:01
L2_BH_0905,D,2,09:12:00,09:12:01
L2_BH_0905,F,3,09:19:00,09:19:01
L2_BH_0905,H,4,09:26:00,09:26:01
L2_BH_0915,B,1,09:15:00,09:15:01
L2_BH_0915,D,2,09:22:00,09:22:01
L2_BH_0915,F,3,09:29:00,09:29:01
L2_BH_0915,H,4,09:36:00,09:36:01
L2_BH_0925,B,1,09:25:00,09:25:01
L2_BH_0925,D,2,09:32:00,09:32:01
L2_BH_0925,F,3,09:39:00,09:39:01
L2_BH_0925,H,4,09:46:00,09:46:01
L2_BH_0935,B,1,09:35:00,09:35:01
L2_BH_0935,D,2,09:42:00,09:42:01
L2_BH_0935,F,3,09:49:00,09:49:01
L2_BH_0935,H,4,09:56:00,09:56:01
L2_BH_0945,B,1,09:45:00,09:45:01
L2_BH_0945,D,2,09:52:00,09:52:01
L2_BH_0945,F,3,09:59:00,09:59:01
L2_BH_0945,H,4,10:06:00,10:06:01
L2_BH_0955,B,1,09:55:00,09:55:01
L2_BH_0955,D,2,10:02:00,10:02:01
L2_BH_0955,F,3,10:09:00,10:09:01
L2_BH_0955,H,4,10:16:00,10:16:01
L2_HB_0700,H,1,07:00:00,07:00:01
L2_HB_0700,F,2,07:07:00,07:07:01
L2_HB_0700,D,3,07:14:00,07:14:01
L2_HB_0700,B,4,07:21:00,07:21:01
L2_HB_0710,H,1,07:10:00,07:10:01
L2_HB_0710,F,2,07:17:00,07:17:01
L2_HB_0710,D,3,07:24:00,07:24:01
L2_HB_0710,B,4,07:31:00,07:31:01
L2_HB_0720,H,1,07:20:00,07:20:01
L2_HB_0720,F,2,07:27:00,07:27:01
L2_HB_0720,D,3,07:34:00,07:34:01
L2_HB_0720,B,4,07:41:00,07:41:01
L2_HB_0730,H,1,07:30:00,07:30:01
L2_HB_0730,F,2,07:37:00,07:37:01
L2_HB_0730,D,3,07:44:00,07:44:01
L2_HB_0730,B,4,07:51:00,07:51:01
L2_HB_0740,H,1,07:40:00,07:40:01
L2_HB_0740,F,2,07:47:00,07:47:01
L2_HB_0740,D,3,07:54:00,07:54:01
L2_HB_0740,B,4,08:01:00,08:01:01
L2_HB_0750,H,1,07:50:00,07:50:01
L2_HB_0750,F,2,07:57:00,07:57:01
L2_HB_0750,D,3,08:04:00,08:04:01
L2_HB_0750,B,4,08:11:00,08:11:01
L2_HB_0800,H,1,08:00:00,08:00:01
L2_HB_0800,F,2,08:07:00,08:07:01
L2_HB_0800,D,3,08:14:00,08:14:01
L2_HB_0800,B,4,08:21:00,08:21:01
L2_HB_0810,H,1,08:10:00,08:10:01
L2_HB_0810,F,2,08:17:00,08:17:01
L2_HB_0810,D,3,08:24:00,08:24:01
L2_HB_0810,B,4,08:31:00,08:31:01
L2_HB_0820,H,1,08:20:00,08:20:01
L2_HB_0820,F,2,08:27:00,08:27:01
L2_HB_0820,D,3,08:34:00,08:34:01
L2_HB_0820,B,4,08:41:00,08:41:01
L2_HB_0830,H,1,08:30:00,08:30:01
L2_HB_0830,F,2,08:37:00,08:37:01
L2_HB_0830,D,3,08:44:00,08:44:01
L2_HB_0830,B,4,08:51:00,08:51:01
L2_HB_0840,H,1,08:40:00,08:40:01
L2_HB_0840,F,2,08:47:00,08:47:01
L2_HB_0840,D,3,08:54:00,08:54:01
L2_HB_0840,B,4,09:01:00,09:01:01
L2_HB_0850,H,1,08:50:00,08:50:01
L2_HB_0850,F,2,08:57:00,08:57:01
L2_HB_0850,D,3,09:04:00,09:04:01
L2_HB_0850,B,4,09:11:00,09:11:01
L2_HB_0900,H,1,09:00:00,09:00:01
L2_HB_0900,F,2,09:07:00,09:07:01
L2_HB_0900,D,3,09:14:00,09:14:01
L2_HB_0900,B,4,09:21:00,09:21:01
L2_HB_0910,H,1,09:10:00,09:10:01
L2_HB_0910,F,2,09:17:00,09:17:01
L2_HB_0910,D,3,09:24:00,09:24:01
L2_HB_0910,B,4,09:31:00,09:31:01
L2_HB_0920,H,1,09:20:00,09:20:01
L2_HB_0920,F,2,09:27:00,09:27:01
L2_HB_0920,D,3,09:34:00,09:34:01
L2_HB_0920,B,4,09:41:00,09:41:01
L2_HB_0930,H,1,09:30:00,09:30:01
L2_HB_0930,F,2,09:37:00,09:37:01
L2_HB_0930,D,3,09:44:00,09:44:01
L2_HB_0930,B,4,09:51:00,09:51:01
L2_HB_0940,H,1,09:40:00,09:40:01
L2_HB_0940,F,2,09:47:00,09:47:01
L2_HB_0940,D,3,09:54:00,09:54:01
L2_HB_0940,B,4,10:01:00,10:01:01
L2_HB_0950,H,1,09:50:00,09:50:01
L2_HB_0950,F,2,09:57:00,09:57:01
L2_HB_0950,D,3,10:04:00,10:04:01
L2_HB_0950,B,4,10:11:00,10:11:01
L3_AH_0702,A,1,07:02:00,07:02:01
L3_AH_0702,B,2,07:08:00,07:08:01
L3_AH_0702,D,3,07:16:00,07:16:01
L3_AH_0702,F,4,07:24:00,07:24:01
L3_AH_0702,H,5,07:32:00,07:32:01
L3_AH_0722,A,1,07:22:00,07:22:01
L3_AH_0722,B,2,07:28:00,07:28:01
L3_AH_0722,D,3,07:36:00,07:36:01
L3_AH_0722,F,4,07:44:00,07:44:01
L3_AH_0722,H,5,07:52:00,07:52:01
L3_AH_0742,A,1,07:42:00,07:42:01
L3_AH_0742,B,2,07:48:00,07:48:01
L3_AH_0742,D,3,07:56:00,07:56:01
L3_AH_0742,F,4,08:04:00,08:04:01
L3_AH_0742,H,5,08:12:00,08:12:01
L3_AH_0802,A,1,08:02:00,08:02:01
L3_AH_0802,B,2,08:08:00,08:08:01
L3_AH_0802,D,3,08:16:00,08:16:01
L3_AH_0802,F,4,08:24:00,08:24:01
L3_AH_0802,H,5,08:32:00,08:32:01
L3_AH_0822,A,1,08:22:00,08:22:01
L3_AH_0822,B,2,08:28:00,08:28:01
L3_AH_0822,D,3,08:36:00,08:36:01
L3_AH_0822,F,4,08:44:00,08:44:01
L3_AH_0822,H,5,08:52:00,08:52:01
L3_AH_0842,A,1,08:42:00,08:42:01
L3_AH_0842,B,2,08:48:00,08:48:01
L3_AH_0842,D,3,08:56:00,08:56:01
L3_AH_0842,F,4,09:04:00,09:04:01
L3_AH_0842,H,5,09:12:00,09:12:01
L3_AH_0902,A,1,09:02:00,09:02:01
L3_AH_0902,B,2,09:08:00,09:08:01
L3_AH_0902,D,3,09:16:00,09:16:01
L3_AH_0902,F,4,09:24:00,09:24:01
L3_AH_0902,H,5,09:32:00,09:32:01
L3_AH_0922,A,1,09:22:00,09:22:01
L3_AH_0922,B,2,09:28:00,09:28:01
L3_AH_0922,D,3,09:36:00,09:36:01
L3_AH_0922,F,4,09:44:00,09:44:01
L3_AH_0922,H,5,09:52:00,09:52:01
L3_AH_0942,A,1,09:42:00,09:42:01
L3_AH_0942,B,2,09:48:00,09:48:01
L3_AH_0942,D,3,09:56:00,09:56:01
L3_AH_0942,F,4,10:04:00,10:04:01
L3_AH_0942,H,5,10:12:00,10:12:01
L3_HA_0712,H,1,07:12:00,07:12:01
L3_HA_0712,F,2,07:20:00,07:20:01
L3_HA_0712,D,3,07:28:00,07:28:01
L3_HA_0712,B,4,07:36:00,07:36:01
L3_HA_0712,A,5,07:42:00,07:42:01
L3_HA_0732,H,1,07:32:00,07:32:01
L3_HA_0732,F,2,07:40:00,07:40:01
L3_HA_0732,D,3,07:48:00,07:48:01
L3_HA_0732,B,4,07:56:00,07:56:01
L3_HA_0732,A,5,08:02:00,08:02:01
L3_HA_0752,H,1,07:52:00,07:52:01
L3_HA_0752,F,2,08:00:00,08:00:01
L3_HA_0752,D,3,08:08:00,08:08:01
L3_HA_0752,B,4,08:16:00,08:16:01
L3_HA_0752,A,5,08:22:00,08:22:01
L3_HA_0812,H,1,08:12:00,08:12:01
L3_HA_0812,F,2,08:20:00,08:20:01
L3_HA_0812,D,3,08:28:00,08:28:01
L3_HA_0812,B,4,08:36:00,08:36:01
L3_HA_0812,A,5,08:42:00,08:42:01
L3_HA_0832,H,1,08:32:00,08:32:01
L3_HA_0832,F,2,08:40:00,08:40:01
L3_HA_0832,D,3,08:48:00,08:48:01
L3_HA_0832,B,4,08:56:00,08:56:01
L3_HA_0832,A,5,09:02:00,09:02:01
L3_HA_0852,H,1,08:52:00,08:52:01
L3_HA_0852,F,2,09:00:00,09:00:01
L3_HA_0852,D,3,09:08:00,09:08:01
L3_HA_0852,B,4,09:16:00,09:16:01
L3_HA_0852,A,5,09:22:00,09:22:01
L3_HA_0912,H,1,09:12:00,09:12:01
L3_HA_0912,F,2,09:20:00,09:20:01
L3_HA_0912,D,3,09:28:00,09:28:01
L3_HA_0912,B,4,09:36:00,09:36:01
L3_HA_0912,A,5,09:42:00,09:42:01
L3_HA_0932,H,1,09:32:00,09:32:01
L3_HA_0932,F,2,09:40:00,09:40:01
L3_HA_0932,D,3,09:48:00,09:48:01
L3_HA_0932,B,4,09:56:00,09:56:01
L3_HA_0932,A,5,10:02:00,10:02:01
L3_HA_0952,H,1,09:52:00,09:52:01
L3_HA_0952,F,2,10:00:00,10:00:01
L3_HA_0952,D,3,10:08:00,10:08:01
L3_HA_0952,B,4,10:16:00,10:16:01
L3_HA_0952,A,5,10:22:00,10:22:01
L4_CF_0703,C,1,07:03:00,07:03:01
L4_CF_0703,D,2,07:08:00,07:08:01
L4_CF_0703,E,3,07:14:00,07:14:01
L4_CF_0703,F,4,07:19:00,07:19:01
L4_CF_0715,C,1,07:15:00,07:15:01
L4_CF_0715,D,2,07:20:00,07:20:01
L4_CF_0715,E,3,07:26:00,07:26:01
L4_CF_0715,F,4,07:31:00,07:31:01
L4_CF_0727,C,1,07:27:00,07:27:01
L4_CF_0727,D,2,07:32:00,07:32:01
L4_CF_0727,E,3,07:38:00,07:38:01
L4_CF_0727,F,4,07:43:00,07:43:01
L4_CF_0739,C,1,07:39:00,07:39:01
L4_CF_0739,D,2,07:44:00,07:44:01
L4_CF_0739,E,3,07:50:00,07:50:01
L4_CF_0739,F,4,07:55:00,07:55:01
L4_CF_0751,C,1,07:51:00,07:51:01
L4_CF_0751,D,2,07:56:00,07:56:01
L4_CF_0751,E,3,08:02:00,08:02:01
L4_CF_0751,F,4,08:07:00,08:07:01
L4_CF_0803,C,1,08:03:00,08:03:01
L4_CF_0803,D,2,08:08:00,08:08:01
L4_CF_0803,E,3,08:14:00,08:14:01
L4_CF_0803,F,4,08:19:00,08:19:01
L4_CF_0815,C,1,08:15:00,08:15:01
L4_CF_0815,D,2,08:20:00,08:20:01
L4_CF_0815,E,3,08:26:00,08:26:01
L4_CF_0815,F,4,08:31:00,08:31:01
L4_CF_0827,C,1,08:27:00,08:27:01
L4_CF_0827,D,2,08:32:00,08:32:01
L4_CF_0827,E,3,08:38:00,08:38:01
L4_CF_0827,F,4,08:43:00,08:43:01
L4_CF_0839,C,1,08:39:00,08:39:01
L4_CF_0839,D,2,08:44:00,08:44:01
L4_CF_0839,E,3,08:50:00,08:50:01
L4_CF_0839,F,4,08:55:00,08:55:01
L4_CF_0851,C,1,08:51:00,08:51:01
L4_CF_0851,D,2,08:56:00,08:56:01
L4_CF_0851,E,3,09:02:00,09:02:01
L4_CF_0851,F,4,09:07:00,09:07:01
L4_CF_0903,C,1,09:03:00,09:03:01
L4_CF_0903,D,2,09:08:00,09:08:01
L4_CF_0903,E,3,09:14:00,09:14:01
L4_CF_0903,F,4,09:19:00,09:19:01
L4_CF_0915,C,1,09:15:00,09:15:01
L4_CF_0915,D,2,09:20:00,09:20:01
L4_CF_0915,E,3,09:26:00,09:26:01
L4_CF_0915,F,4,09:31:00,09:31:01
L4_CF_0927,C,1,09:27:00,09:27:01
L4_CF_0927,D,2,09:32:00,09:32:01
L4_CF_0927,E,3,09:38:00,09:38:01
L4_CF_0927,F,4,09:43:00,09:43:01
L4_CF_0939,C,1,09:39:00,09:39:01
L4_CF_0939,D,2,09:44:00,09:44:01
L4_CF_0939,E,3,09:50:00,09:50:01
L4_CF_0939,F,4,09:55:00,09:55:01
L4_CF_0951,C,1,09:51:00,09:51:01
L4_CF_0951,D,2,09:56:00,09:56:01
L4_CF_0951,E,3,10:02:00,10:02:01
L4_CF_0951,F,4,10:07:00,10:07:01
L4_FC_0709,F,1,07:09:00,07:09:01
L4_FC_0709,E,2,07:14:00,07:14:01
L4_FC_0709,D,3,07:20:00,07:20:01
L4_FC_0709,C,4,07:25:00,07:25:01
L4_FC_0721,F,1,07:21:00,07:21:01
L4_FC_0721,E,2,07:26:00,07:26:01
L4_FC_0721,D,3,07:32:00,07:32:01
L4_FC_0721,C,4,07:37:00,07:37:01
L4_FC_0733,F,1,07:33:00,07:33:01
L4_FC_0733,E,2,07:38:00,07:38:01
L4_FC_0733,D,3,07:44:00,07:44:01
L4_FC_0733,C,4,07:49:00,07:49:01
L4_FC_0745,F,1,07:45:00,07:45:01
L4_FC_0745,E,2,07:50:00,07:50:01
L4_FC_0745,D,3,07:56:00,07:56:01
L4_FC_0745,C,4,08:01:00,08:01:01
L4_FC_0757,F,1,07:57:00,07:57:01
L4_FC_0757,E,2,08:02:00,08:02:01
L4_FC_0757,D,3,08:08:00,08:08:01
L4_FC_0757,C,4,08:13:00,08:13:01
L4_FC_0809,F,1,08:09:00,08:09:01
L4_FC_0809,E,2,08:14:00,08:14:01
L4_FC_0809,D,3,08:20:00,08:20:01
L4_FC_0809,C,4,08:25:00,08:25:01
L4_FC_0821,F,1,08:21:00,08:21:01
L4_FC_0821,E,2,08:26:00,08:26:01
L4_FC_0821,D,3,08:32:00,08:32:01
L4_FC_0821,C,4,08:37:00,08:37:01
L4_FC_0833,F,1,08:33:00,08:33:01
L4_FC_0833,E,2,08:38:00,08:38:01
L4_FC_0833,D,3,08:44:00,08:44:01
L4_FC_0833,C,4,08:49:00,08:49:01
L4_FC_0845,F,1,08:45:00,08:45:01
L4_FC_0845,E,2,08:50:00,08:50:01
L4_FC_0845,D,3,08:56:00,08:56:01
L4_FC_0845,C,4,09:01:00,09:01:01
L4_FC_0857,F,1,08:57:00,08:57:01
L4_FC_0857,E,2,09:02:00,09:02:01
L4_FC_0857,D,3,09:08:00,09:08:01
L4_FC_0857,C,4,09:13:00,09:13:01
L4_FC_0909,F,1,09:09:00,09:09:01
L4_FC_0909,E,2,09:14:00,09:14:01
L4_FC_0909,D,3,09:20:00,09:20:01
L4_FC_0909,C,4,09:25:00,09:25:01
L4_FC_0921,F,1,09:21:00,09:21:01
L4_FC_0921,E,2,09:26:00,09:26:01
L4_FC_0921,D,3,09:32:00,09:32:01
L4_FC_0921,C,4,09:37:00,09:37:01
L4_FC_0933,F,1,09:33:00,09:33:01
L4_FC_0933,E,2,09:38:00,09:38:01
L4_FC_0933,D,3,09:44:00,09:44:01
L4_FC_0933,C,4,09:49:00,09:49:01
L4_FC_0945,F,1,09:45:00,09:45:01
L4_FC_0945,E,2,09:50:00,09:50:01
L4_FC_0945,D,3,09:56:00,09:56:01
L4_FC_0945,C,4,10:01:00,10:01:01
L4_FC_0957,F,1,09:57:00,09:57:01
L4_FC_0957,E,2,10:02:00,10:02:01
L4_FC_0957,D,3,10:08:00,10:08:01
L4_FC_0957,C,4,10:13:00,10:13:01
L5_NU_0704,N,1,07:04:00,07:04:01
L5_NU_0704,C,2,07:11:00,07:11:01
L5_NU_0704,D,3,07:16:00,07:16:01
L5_NU_0704,U,4,07:25:00,07:25:01
L5_NU_0719,N,1,07:19:00,07:19:01
L5_NU_0719,C,2,07:26:00,07:26:01
L5_NU_0719,D,3,07:31:00,07:31:01
L5_NU_0719,U,4,07:40:00,07:40:01
L5_NU_0734,N,1,07:34:00,07:34:01
L5_NU_0734,C,2,07:41:00,07:41:01
L5_NU_0734,D,3,07:46:00,07:46:01
L5_NU_0734,U,4,07:55:00,07:55:01
L5_NU_0749,N,1,07:49:00,07:49:01
L5_NU_0749,C,2,07:56:00,07:56:01
L5_NU_0749,D,3,08:01:00,08:01:01
L5_NU_0749,U,4,08:10:00,08:10:01
L5_NU_0804,N,1,08:04:00,08:04:01
L5_NU_0804,C,2,08:11:00,08:11:01
L5_NU_0804,D,3,08:16:00,08:16:01
L5_NU_0804,U,4,08:25:00,08:25:01
L5_NU_0819,N,1,08:19:00,08:19:01
L5_NU_0819,C,2,08:26:00,08:26:01
L5_NU_0819,D,3,08:31:00,08:31:01
L5_NU_0819,U,4,08:40:00,08:40:01
L5_NU_0834,N,1,08:34:00,08:34:01
L5_NU_0834,C,2,08:41:00,08:41:01
L5_NU_0834,D,3,08:46:00,08:46:01
L5_NU_0834,U,4,08:55:00,08:55:01
L5_NU_0849,N,1,08:49:00,08:49:01
L5_NU_0849,C,2,08:56:00,08:56:01
L5_NU_0849,D,3,09:01:00,09:01:01
L5_NU_0849,U,4,09:10:00,09:10:01
L5_NU_0904,N,1,09:04:00,09:04:01
L5_NU_0904,C,2,09:11:00,09:11:01
L5_NU_0904,D,3,09:16:00,09:16:01
L5_NU_0904,U,4,09:25:00,09:25:01
L5_NU_0919,N,1,09:19:00,09:19:01
L5_NU_0919,C,2,09:26:00,09:26:01
L5_NU_0919,D,3,09:31:00,09:31:01
L5_NU_0919,U,4,09:40:00,09:40:01
L5_NU_0934,N,1,09:34:00,09:34:01
L5_NU_0934,C,2,09:41:00,09:41:01
L5_NU_0934,D,3,09:46:00,09:46:01
L5_NU_0934,U,4,09:55:00,09:55:01
L5_NU_0949,N,1,09:49:00,09:49:01
L5_NU_0949,C,2,09:56:00,09:56:01
L5_NU_0949,D,3,10:01:00,10:01:01
L5_NU_0949,U,4,10:10:00,10:10:01
L5_UN_0711,U,1,07:11:00,07:11:01
L5_UN_0711,D,2,07:20:00,07:20:01
L5_UN_0711,C,3,07:25:00,07:25:01
L5_UN_0711,N,4,07:32:00,07:32:01
L5_UN_0726,U,1,07:26:00,07:26:01
L5_UN_0726,D,2,07:35:00,07:35:01
L5_UN_0726,C,3,07:40:00,07:40:01
L5_UN_0726,N,4,07:47:00,07:47:01
L5_UN_0741,U,1,07:41:00,07:41:01
L5_UN_0741,D,2,07:50:00,07:50:01
L5_UN_0741,C,3,07:55:00,07:55:01
L5_UN_0741,N,4,08:02:00,08:02:01
L5_UN_0756,U,1,07:56:00,07:56:01
L5_UN_0756,D,2,08:05:00,08:05:01
L5_UN_0756,C,3,08:10:00,08:10:01
L5_UN_0756,N,4,08:17:00,08:17:01
L5_UN_0811,U,1,08:11:00,08:11:01
L5_UN_0811,D,2,08:20:00,08:20:01
L5_UN_0811,C,3,08:25:00,08:25:01
L5_UN_0811,N,4,08:32:00,08:32:01
L5_UN_0826,U,1,08:26:00,08:26:01
L5_UN_0826,D,2,08:35:00,08:35:01
L5_UN_0826,C,3,08:40:00,08:40:01
L5_UN_0826,N,4,08:47:00,08:47:01
L5_UN_0841,U,1,08:41:00,08:41:01
L5_UN_0841,D,2,08:50:00,08:50:01
L5_UN_0841,C,3,08:55:00,08:55:01
L5_UN_0841,N,4,09:02:00,09:02:01
L5_UN_0856,U,1,08:56:00,08:56:01
L5_UN_0856,D,2,09:05:00,09:05:01
L5_UN_0856,C,3,09:10:00,09:10:01
L5_UN_0856,N,4,09:17:00,09:17:01
L5_UN_0911,U,1,09:11:00,09:11:01
L5_UN_0911,D,2,09:20:00,09:20:01
L5_UN_0911,C,3,09:25:00,09:25:01
L5_UN_0911,N,4,09:32:00,09:32:01
L5_UN_0926,U,1,09:26:00,09:26:01
L5_UN_0926,D,2,09:35:00,09:35:01
L5_UN_0926,C,3,09:40:00,09:40:01
L5_UN_0926,N,4,09:47:00,09:47:01
L5_UN_0941,U,1,09:41:00,09:41:01
L5_UN_0941,D,2,09:50:00,09:50:01
L5_UN_0941,C,3,09:55:00,09:55:01
L5_UN_0941,N,4,10:02:00,10:02:01
L5_UN_0956,U,1,09:56:00,09:56:01
L5_UN_0956,D,2,10:05:00,10:05:01
L5_UN_0956,C,3,10:10:00,10:10:01
L5_UN_0956,N,4,10:17:00,10:17:01
